seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
11,15,0.53125,0.525,0.5375
11,16,0.5375,0.53125,0.54375
11,17,0.5375,0.525,0.55
11,18,0.50625,0.50625,0.50625
11,19,0.4875,0.46875,0.50625
11,20,0.496875,0.5,0.49375
11,21,0.54375,0.48125,0.60625
11,22,0.521875,0.475,0.56875
11,23,0.525,0.50625,0.54375
11,24,0.509375,0.475,0.54375
11,25,0.471875,0.43125,0.5125
11,26,0.484375,0.48125,0.4875
11,27,0.49375,0.4875,0.5
11,28,0.475,0.44375,0.50625
11,29,0.440625,0.39375,0.4875
11,30,0.465625,0.43125,0.5
11,31,0.471875,0.45,0.49375
11,32,0.478125,0.425,0.53125
11,33,0.5125,0.49375,0.53125
11,34,0.5125,0.475,0.55
11,35,0.509375,0.46875,0.55
11,36,0.53125,0.525,0.5375
11,37,0.54375,0.5125,0.575
11,38,0.5125,0.51875,0.50625
11,39,0.50625,0.4875,0.525
11,40,0.515625,0.51875,0.5125
11,41,0.509375,0.5,0.51875
11,42,0.50625,0.49375,0.51875
11,43,0.51875,0.5125,0.525
11,44,0.51875,0.50625,0.53125
11,45,0.515625,0.50625,0.525
11,46,0.4875,0.475,0.5
11,47,0.49375,0.48125,0.50625
11,48,0.503125,0.5,0.50625
11,49,0.5,0.50625,0.49375
11,50,0.503125,0.5125,0.49375
11,51,0.5,0.48125,0.51875
11,52,0.490625,0.5125,0.46875
11,53,0.49375,0.5,0.4875
11,54,0.490625,0.51875,0.4625
11,55,0.5,0.54375,0.45625
11,56,0.490625,0.525,0.45625
